 Zeit;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
Bagel Cream Cheese here;0;0;3;9;3;6;13;11;2;5;2;2;2;0;0;0;0
Bagel Cream Cheese to go;0;2;4;1;0;0;2;0;0;2;1;0;0;0;0;0;0
Bagel Fitness here;0;0;2;12;7;15;26;19;14;12;9;2;4;5;0;0;0
Bagel Fitness to go;0;3;3;4;5;3;5;4;8;3;1;1;0;0;0;0;0
Bagel Green Garden here;0;0;0;0;1;3;2;2;6;2;5;2;0;1;0;0;0
Bagel Green Garden to go;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Bagel India here;0;0;0;0;0;1;5;12;6;4;4;3;0;0;0;0;0
Bagel India to go;0;0;0;0;0;0;2;1;0;1;1;1;0;0;0;0;0
Bagel Mexico here;0;0;0;1;3;8;10;9;10;11;15;8;5;1;0;0;0
Bagel Mexico to go;0;0;0;0;2;0;2;0;0;4;0;1;0;0;0;0;0
Bagel Morning Star here;0;1;5;3;7;5;2;1;0;0;1;0;0;0;0;0;0
Bagel Morning Star to go;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel Peanut Butter here;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Bagel Peanut Butter to go;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bagel plain here;0;0;1;3;3;5;2;0;5;5;2;0;2;4;0;0;0
Bagel plain to go;0;6;8;3;3;6;2;1;1;0;3;2;3;0;0;0;0
Bagel Roma oder Florenz here;0;2;3;25;12;24;38;60;34;27;16;9;7;5;0;0;0
Bagel Roma oder Florenz to go;0;0;2;6;6;6;14;3;4;10;2;6;1;1;0;0;0
Bagel Stulle Deluxe here;0;1;2;2;7;11;8;9;5;9;9;6;3;2;0;0;0
Bagel Stulle Deluxe to go;0;0;2;3;5;0;3;2;1;2;0;3;0;1;0;0;0
Bagel Vital here;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Brezel Butter here;0;0;1;4;3;1;5;1;2;5;3;1;0;0;0;0;0
Brezel Butter to go;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
Brezel plain here;0;0;6;4;13;9;4;6;3;6;3;2;5;0;0;0;0
Brezel plain to go;0;0;6;3;2;5;3;0;2;2;1;0;0;0;0;0;0
Cafe Creme groﬂ  here;0;4;3;17;0;10;13;8;20;13;21;18;2;0;0;0;0
Cafe Creme groﬂ  to go;0;10;7;9;7;7;17;8;5;13;10;7;4;3;0;0;0
Cafe Creme klein  here;0;20;13;15;18;23;39;45;29;24;39;32;16;11;0;0;0
Cafe Creme klein  to go;0;2;22;14;21;18;17;17;15;9;11;10;11;3;0;0;0
Caffe Latte mit Sirup here;0;0;2;1;9;3;9;6;4;6;10;10;6;0;1;0;0
Caffe Latte mit Sirup to go;0;0;7;3;3;1;4;2;12;5;5;4;1;4;1;0;0
Caffe Latte ohne Sirup here;0;2;7;19;25;43;50;47;55;41;44;40;32;8;0;0;0
Caffe Latte ohne Sirup to go;0;16;35;10;13;15;24;49;24;32;29;28;16;6;0;0;0
Cappuccino groﬂ  here;0;1;19;16;10;22;26;19;45;34;39;26;18;8;0;0;0
Cappuccino groﬂ  to go;0;3;26;26;9;15;19;10;18;23;13;7;15;5;0;0;0
Cappuccino klein  here;0;0;4;21;31;36;84;71;60;52;43;34;31;4;0;0;0
Cappuccino klein  to go;0;5;6;10;6;5;10;14;18;24;21;13;14;3;0;0;0
Chai Tea groﬂ Chai Banana here;0;0;0;0;0;0;1;3;1;4;1;3;2;3;0;0;0
Chai Tea groﬂ Chai Banana to go;0;0;0;1;0;0;0;2;1;0;3;3;0;0;0;0;0
Chai Tea groﬂ Chai Tea Latte here;0;0;0;4;4;5;10;10;14;21;11;25;14;5;0;0;0
Chai Tea groﬂ Chai Tea Latte to go;0;3;2;2;3;5;4;8;5;8;8;6;8;2;0;0;0
Chai Tea klein Chai Banana here;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
Chai Tea klein Chai Tea Latte here;0;0;2;2;3;11;6;10;12;12;15;9;5;1;0;0;0
Chai Tea klein Chai Tea Latte to go;0;0;2;0;0;1;7;1;5;6;5;2;3;2;0;0;0
Chocolate groﬂ Bio-Kakao here;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0
Chocolate groﬂ Bio-Kakao to go;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Chocolate groﬂ black here;0;0;1;5;2;9;6;7;5;8;8;12;4;7;0;0;0
Chocolate groﬂ black to go;0;1;0;2;4;4;5;4;1;3;4;4;3;4;0;0;0
Chocolate groﬂ white bring in;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Chocolate groﬂ white here;0;0;0;2;2;2;3;2;1;2;4;4;6;3;1;0;0
Chocolate groﬂ white to go;0;0;1;0;0;0;1;1;0;1;3;1;0;0;0;0;0
Chocolate klein Bio-Kakao here;0;0;0;0;1;0;0;0;0;3;1;0;2;1;0;0;0
Chocolate klein Bio-Kakao to go;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
