 Zeit,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
Bagel Cream Cheese here,0,0,3,5,4,5,3,6,3,4,7,2,2,0,0,0,0
Bagel Cream Cheese to go,0,2,16,1,0,0,2,1,0,1,0,0,0,0,0,0,0
Bagel Fitness here,0,3,0,7,5,3,35,19,13,9,6,1,8,1,0,0,0
Bagel Fitness to go,0,0,3,4,2,3,6,10,4,2,1,2,1,1,0,0,0
Bagel Green Garden here,0,0,0,0,2,2,7,6,2,3,4,2,5,0,0,0,0
Bagel Green Garden to go,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0
Bagel India here,0,0,0,1,0,1,4,6,4,3,3,6,0,0,0,0,0
Bagel India to go,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0
Bagel Mexico here,0,1,0,2,7,8,12,7,12,9,8,11,7,0,0,0,0
Bagel Mexico to go,0,0,0,1,0,0,2,1,1,2,1,2,1,0,0,0,0
Bagel Morning Star here,0,0,4,8,4,4,0,0,0,0,0,0,0,0,0,0,0
Bagel Morning Star to go,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Peanut Butter here,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
Bagel Peanut Butter to go,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bagel plain here,0,0,0,0,2,3,3,2,1,1,1,0,1,0,0,0,0
Bagel plain to go,0,1,9,5,3,3,2,4,0,1,1,5,0,6,0,0,0
Bagel Roma oder Florenz here,0,2,4,20,6,20,53,43,25,33,14,15,8,2,0,0,0
Bagel Roma oder Florenz to go,0,0,11,6,8,9,15,17,7,14,2,1,2,1,0,0,0
Bagel Stulle Deluxe here,0,0,0,4,11,4,18,12,10,6,8,5,4,1,0,0,0
Bagel Stulle Deluxe to go,0,0,5,3,6,3,5,2,6,2,0,0,1,0,0,0,0
Bagel Vital here,0,0,0,2,0,1,2,1,2,2,0,0,0,0,0,0,0
Bagel Vital to go,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Brezel Butter here,0,0,2,4,1,3,1,2,2,1,1,1,0,1,0,0,0
Brezel Butter to go,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brezel plain here,0,1,4,6,8,4,11,7,5,3,6,2,5,2,0,0,0
Brezel plain to go,0,0,4,2,1,8,1,3,2,2,2,1,0,0,0,0,0
Cafe Creme groﬂ  here,0,2,6,6,5,11,8,14,13,17,13,9,7,1,0,0,0
Cafe Creme groﬂ  to go,0,10,12,4,2,10,1,4,6,2,5,5,3,0,0,0,0
Cafe Creme klein  here,0,19,11,17,14,18,64,32,33,26,27,32,28,12,0,0,0
Cafe Creme klein  to go,0,2,13,15,7,4,8,10,16,22,13,15,5,6,0,0,0
Caffe Latte mit Sirup here,0,0,0,3,3,4,2,7,6,12,7,8,3,3,0,0,0
Caffe Latte mit Sirup to go,0,1,4,1,5,2,5,3,3,5,3,1,4,4,0,0,0
Caffe Latte ohne Sirup bring in,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Caffe Latte ohne Sirup here,0,1,20,23,24,32,40,51,37,42,30,29,17,8,0,0,0
Caffe Latte ohne Sirup to go,0,11,20,28,12,24,28,37,30,41,20,14,5,4,0,0,0
Cappuccino groﬂ  here,0,3,13,14,12,18,22,29,31,26,24,23,14,7,0,0,0
Cappuccino groﬂ  to go,0,1,15,19,10,10,18,10,12,25,18,11,2,2,0,0,0
Cappuccino klein  here,0,0,3,26,17,39,78,75,35,25,40,30,31,3,0,0,0
Cappuccino klein  to go,0,3,10,10,5,7,19,7,6,13,10,13,7,7,0,0,0
Chai Tea groﬂ Chai Banana here,0,0,0,0,3,3,1,2,1,1,0,0,1,0,0,0,0
Chai Tea groﬂ Chai Banana to go,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
Chai Tea groﬂ Chai Tea Latte here,0,5,1,4,4,1,8,9,9,9,3,9,16,3,0,0,0
Chai Tea groﬂ Chai Tea Latte to go,0,1,2,3,1,2,6,3,2,11,4,2,2,2,0,0,0
Chai Tea klein Chai Banana here,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chai Tea klein Chai Tea Latte here,0,2,0,5,3,4,10,7,3,3,10,13,12,8,0,0,0
Chai Tea klein Chai Tea Latte to go,0,0,0,2,6,2,1,4,1,2,2,4,4,0,0,0,0
Chocolate groﬂ Bio-Kakao here,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
Chocolate groﬂ Bio-Kakao to go,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Chocolate groﬂ black here,0,0,0,1,3,0,5,0,4,3,7,5,2,2,0,0,0
Chocolate groﬂ black to go,0,1,2,0,0,1,0,0,1,1,4,3,1,3,0,0,0
Chocolate groﬂ white here,0,1,2,0,1,0,4,1,2,1,5,3,3,1,0,0,0
Chocolate groﬂ white to go,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0
Chocolate klein Bio-Kakao here,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0
Chocolate klein black here,0,0,2,9,3,5,9,10,6,8,8,7,5,1,0,0,0
Chocolate klein black to go,0,0,0,0,0,1,0,4,1,2,1,0,1,3,0,0,0
